Periods,"Producto interno bruto trimestral, base 2013",Serie original corregida por efectos del calendario,Serie desestacionalizada,Tendencia-ciclo
1993/01,10008894.66,9998556.5,10063152.24,10048165.92
1993/02,10171035.41,10204390.16,10091489.07,10108788.06
1993/03,10066258.41,10066258.41,10201465.74,10200059.68
1993/04,10416096.23,10416096.23,10330089.94,10316574
1994/01,10343388.49,10370785.49,10433518.6,10461646.88
1994/02,10772526.23,10768167.97,10654289.54,10622594.26
1994/03,10602752.89,10602752.89,10742633.57,10754208.68
1994/04,10952773.4,10952773.4,10862866.66,10863344.61
1995/01,10189745.48,10179220.52,10233465.74,10231416.39
1995/02,9795718.997,9827842.941,9736453.969,9741190.131
1995/03,9802904.372,9802904.372,9926238.941,9917285.907
1995/04,10198513.3,10198513.3,10111710.72,10130875.37
1996/01,10426430.91,10322729.66,10375444.45,10346459.17
1996/02,10569227.51,10603888.09,10519491.9,10530516.16
1996/03,10583112.1,10583112.1,10703477.36,10708503.12
1996/04,11116526.6,11116526.6,11019650.61,10906222.63
1997/01,10862932.04,10972134.76,11034294.71,11094645.55
1997/02,11460068.1,11371459.35,11292211.46,11287807.74
1997/03,11408200.83,11408200.83,11512950.31,11532799.89
1997/04,11887380.08,11887380.08,11791368.31,11763149.57
1998/01,11827638.01,11815421.28,11898728.01,11911733.62
1998/02,12034464.21,12073929.86,11990604.3,11988951.33
1998/03,11972371.61,11972371.61,12045448.15,12034953.9
1998/04,12139816.61,12139816.61,12064222.43,12086521.29
1999/01,12100154.55,12087656.33,12190811.72,12173404.12
1999/02,12315219.08,12355605.43,12265411.43,12270835.86
1999/03,12325229.13,12325229.13,12365291.93,12359501.11
1999/04,12554685.79,12554685.79,12493848.1,12511295.09
2000/01,12725022.06,12598459.04,12733340.32,12725611.8
2000/02,12994568.9,13037183.11,12928417.61,12928727.73
2000/03,13008792.24,13008792.24,13028984.09,13012661.07
2000/04,13003302.16,13003302.16,12942683.97,12997592.16
2001/01,12796119.5,12782902.42,12951610.64,12938431.75
2001/02,12967530.19,13010055.72,12879860.8,12898678.07
2001/03,12857408.65,12857408.65,12883160.38,12868290.69
2001/04,12901429.21,12901429.21,12822925.78,12816705.26
2002/01,12415541.45,12540352.22,12738012.26,12784959.48
2002/02,13112362.76,13010978.55,12852281.5,12844872.62
2002/03,12889950.08,12889950.08,12941244.97,12935055.22
2002/04,13084104.38,13084104.38,12981604.84,12982977.67
2003/01,12803323.69,12790099.17,13009289.57,13013309.14
2003/02,13182930.05,13226161.96,13041530.99,13026282.24
2003/03,12954912.94,12954912.94,13040818.18,13060350.34
2003/04,13305707.41,13305707.41,13177313.73,13174874.93
2004/01,13252629.58,13120818.98,13355170.82,13351960.28
2004/02,13732336,13777369.63,13570557.05,13509353.77
2004/03,13438260.1,13438260.1,13552235,13632318.67
2004/04,13872034.55,13872034.55,13718212.28,13708489.83
2005/01,13354787.87,13489040.68,13739138.97,13740830.2
2005/02,14104833.95,13995775.99,13780591.66,13785205.49
2005/03,13782144.44,13782144.44,13909185.03,13914156.77
2005/04,14306523.83,14306523.83,14128697.79,14133476.13
2006/01,14107960.02,14093387.95,14375198.28,14365538.41
2006/02,14700503.92,14748712.54,14519678.32,14513649.74
2006/03,14435867.71,14435867.71,14564687.98,14564459.5
2006/04,14800897.34,14800897.34,14594880.8,14605873.63
2007/01,14393727.37,14378860.12,14698021.97,14695844.6
2007/02,14993339.39,15042508.33,14812164.83,14810749.35
2007/03,14783298.24,14783298.24,14905016.41,14903703.93
2007/04,15204938.91,15204938.91,14963561.21,14959977.96
2008/01,14563428.39,14578585.66,14935334.67,15005599.88
2008/02,15386334.06,15267367.6,15045967.91,15031571.91
2008/03,14979494.72,14979494.72,15092376.4,14998270.89
2008/04,15125053.56,15125053.56,14850921.79,14932478.24
2009/01,13752148.77,13737944.21,14094187.03,14110616.18
2009/02,14012937.53,14058891.36,13880823.65,14264662.96
2009/03,14231941.47,14231941.47,14331915.56,14463571.31
2009/04,14882965.75,14882965.75,14578939.41,14622884.77
2010/01,14371721.73,14356877.21,14734114.69,14757272.9
2010/02,14998399.48,15047585.02,14890931.98,14893837.64
2010/03,14921452.64,14921452.64,15027299.76,15029058.45
2010/04,15499604.94,15499604.94,15150560.87,15149328.81
2011/01,14902732.35,14887339.35,15268006.77,15267767.97
2011/02,15413046.03,15463591.35,15342905.26,15425547.24
2011/03,15526015.6,15526015.6,15638303.51,15606447.62
2011/04,16139540.42,16139540.42,15749220.93,15748416.54
2012/01,15619755.66,15464401.63,15848356.67,15857904.44
2012/02,16027466.9,16080027.16,15980723.32,15970402.58
2012/03,15952810.18,15952810.18,16078767.5,16093688.63
2012/04,16638861.86,16638861.86,16215508.56,16207013.09
2013/01,15719776.62,15877804.15,16260759.15,16239188.31
2013/02,16361859.38,16235350.21,16156733.68,16234446.34
2013/03,16186113.5,16186113.5,16312621.97,16296168.69
2013/04,16840998.81,16840998.81,16409147.44,16406751.38
2014/01,16162105.44,16145411.64,16524312.05,16546086.05
2014/02,16743434.84,16798343.03,16725449.68,16688894.54
2014/03,16649865.09,16649865.09,16783353.02,16818693.83
2014/04,17408794.64,17408794.64,16966660.96,16937234.98
2015/01,16710133.48,16692873.62,17062704.19,17084131.28
2015/02,17261322.86,17317929.4,17259567.17,17267807.62
2015/03,17331683.54,17331683.54,17466422.92,17412199.28
2015/04,17866292.71,17866292.71,17428596.7,17466001.29
2016/01,17166730.95,17184597.68,17531563.01,17509545.83
2016/02,17780824.66,17643344.11,17599760.7,17615195.01
2016/03,17625370.57,17625370.57,17770386.83,17774851
2016/04,18416030.75,18416030.75,17970437.84,17956069.01
2017/01,17756201.19,17737860.85,18066112.51,18070817.95
2017/02,18086200.1,18145511.73,18119299.32,18104401.64
2017/03,17901908.91,17901908.91,18051276.61,18152558.43
2017/04,18744735.07,18744735.07,18292320.83,18294283.72
2018/01,18023815.37,18205004.91,18528367.09,18453846.72
2018/02,18674643.61,18530252.08,18516876.87,18533821.09
2018/03,18407552.3,18407552.3,18557782.87,18539572.15
2018/04,18979284.43,18979284.43,18512406.8,18534076.33
2019/01,18228099.37,18209271.61,18542044.78,18528720.58
2019/02,18460530.85,18521070.05,18512874.55,18520300.69
2019/03,18331137,18331137,18472536.79,18470100.37
2019/04,18840258.82,18840258.82,18367535.23,18350018.35
2020/01,17977622.05,17798816.69,18139598.09,18201282.66